Series Name,Year,Value
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2015,24.1704877726
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2015,10.3609697555
"Annual freshwater withdrawals, total (% of internal resources)",2015,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2015,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2015,327.0
Renewable internal freshwater resources per capita (cubic meters),2016,69366.3689781719
"Annual freshwater withdrawals, total (billion cubic meters)",2016,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2016,66.2871333563
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2016,24.472705299
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2016,9.2401613447
"Annual freshwater withdrawals, total (% of internal resources)",2016,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2016,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2016,327.0
Renewable internal freshwater resources per capita (cubic meters),2017,67932.5245138773
"Annual freshwater withdrawals, total (billion cubic meters)",2017,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2017,66.0983318567
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2017,24.4030012218
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2017,9.4986669214
"Annual freshwater withdrawals, total (% of internal resources)",2017,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2017,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2017,327.0
Renewable internal freshwater resources per capita (cubic meters),2018,66726.5232828633
"Annual freshwater withdrawals, total (billion cubic meters)",2018,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2018,65.7324801433
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2018,24.2679315527
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2018,9.999588304
"Annual freshwater withdrawals, total (% of internal resources)",2018,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2018,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2018,327.0
Renewable internal freshwater resources per capita (cubic meters),2019,65673.2005141388
"Annual freshwater withdrawals, total (billion cubic meters)",2019,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2019,65.587732072
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2019,24.2144916661
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2019,10.1977762618
"Annual freshwater withdrawals, total (% of internal resources)",2019,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2019,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2019,327.0
Renewable internal freshwater resources per capita (cubic meters),2020,64241.0907233508
"Annual freshwater withdrawals, total (billion cubic meters)",2020,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2020,65.587732072
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2020,24.2144916661
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2020,10.1977762618
"Annual freshwater withdrawals, total (% of internal resources)",2020,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2020,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2020,327.0
Renewable internal freshwater resources per capita (cubic meters),2021,63975.8965429538
"Annual freshwater withdrawals, total (billion cubic meters)",2021,9.875
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",2021,65.587732072
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",2021,24.2144916661
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",2021,10.1977762618
"Annual freshwater withdrawals, total (% of internal resources)",2021,3.01987767584098
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,2021,8.0480847596
"Renewable internal freshwater resources, total (billion cubic meters)",2021,327.0
